in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+01,-2.024E+01,-9.846E+01,4.000E-02
2.00E+00,1.012E+01,-2.076E+01,-9.778E+01,4.000E-02
3.00E+00,1.023E+01,-2.098E+01,-9.932E+01,4.000E-02
4.00E+00,1.035E+01,-2.168E+01,-1.030E+02,4.000E-02
5.00E+00,1.047E+01,-2.090E+01,-1.015E+02,4.000E-02
6.00E+00,1.059E+01,-2.174E+01,-1.009E+02,4.000E-02
7.00E+00,1.072E+01,-2.136E+01,-1.008E+02,4.000E-02
8.00E+00,1.084E+01,-2.010E+01,-9.683E+01,4.000E-02
9.00E+00,1.096E+01,-2.039E+01,-9.901E+01,4.000E-02
1.00E+01,1.109E+01,-1.965E+01,-9.909E+01,4.000E-02
1.10E+01,1.122E+01,-2.042E+01,-9.584E+01,4.000E-02
1.20E+01,1.135E+01,-2.041E+01,-9.547E+01,4.000E-02
1.30E+01,1.148E+01,-1.955E+01,-1.002E+02,4.000E-02
1.40E+01,1.161E+01,-1.980E+01,-9.934E+01,4.000E-02
1.50E+01,1.175E+01,-1.882E+01,-1.031E+02,4.000E-02
1.60E+01,1.189E+01,-1.941E+01,-9.798E+01,4.000E-02
1.70E+01,1.202E+01,-2.028E+01,-1.023E+02,4.000E-02
1.80E+01,1.216E+01,-1.891E+01,-1.037E+02,4.000E-02
1.90E+01,1.230E+01,-1.927E+01,-1.019E+02,4.000E-02
2.00E+01,1.245E+01,-1.856E+01,-1.014E+02,4.000E-02
2.10E+01,1.259E+01,-1.883E+01,-9.724E+01,4.000E-02
2.20E+01,1.274E+01,-1.900E+01,-1.013E+02,4.000E-02
2.30E+01,1.288E+01,-1.928E+01,-9.935E+01,4.000E-02
2.40E+01,1.303E+01,-1.922E+01,-9.715E+01,4.000E-02
2.50E+01,1.318E+01,-1.813E+01,-9.815E+01,4.000E-02
2.60E+01,1.334E+01,-1.795E+01,-1.001E+02,4.000E-02
2.70E+01,1.349E+01,-1.815E+01,-9.789E+01,4.000E-02
2.80E+01,1.365E+01,-1.817E+01,-1.014E+02,4.000E-02
2.90E+01,1.380E+01,-1.763E+01,-9.857E+01,4.000E-02
3.00E+01,1.396E+01,-1.779E+01,-1.017E+02,4.000E-02
3.10E+01,1.413E+01,-1.762E+01,-1.034E+02,4.000E-02
3.20E+01,1.429E+01,-1.762E+01,-9.749E+01,4.000E-02
3.30E+01,1.445E+01,-1.786E+01,-1.033E+02,4.000E-02
3.40E+01,1.462E+01,-1.778E+01,-1.032E+02,4.000E-02
3.50E+01,1.479E+01,-1.801E+01,-1.006E+02,4.000E-02
3.60E+01,1.496E+01,-1.714E+01,-1.005E+02,4.000E-02
3.70E+01,1.514E+01,-1.737E+01,-1.001E+02,4.000E-02
3.80E+01,1.531E+01,-1.757E+01,-1.028E+02,4.000E-02
3.90E+01,1.549E+01,-1.692E+01,-1.009E+02,4.000E-02
4.00E+01,1.567E+01,-1.723E+01,-1.029E+02,4.000E-02
4.10E+01,1.585E+01,-1.675E+01,-1.016E+02,4.000E-02
4.20E+01,1.603E+01,-1.745E+01,-1.023E+02,4.000E-02
4.30E+01,1.622E+01,-1.671E+01,-1.006E+02,4.000E-02
4.40E+01,1.641E+01,-1.674E+01,-1.000E+02,4.000E-02
4.50E+01,1.660E+01,-1.685E+01,-1.024E+02,4.000E-02
4.60E+01,1.679E+01,-1.620E+01,-1.032E+02,4.000E-02
4.70E+01,1.698E+01,-1.669E+01,-1.022E+02,4.000E-02
4.80E+01,1.718E+01,-1.584E+01,-9.996E+01,4.000E-02
4.90E+01,1.738E+01,-1.597E+01,-1.055E+02,4.000E-02
5.00E+01,1.758E+01,-1.618E+01,-1.066E+02,4.000E-02
5.10E+01,1.778E+01,-1.586E+01,-1.031E+02,4.000E-02
5.20E+01,1.799E+01,-1.625E+01,-1.060E+02,4.000E-02
5.30E+01,1.820E+01,-1.575E+01,-1.018E+02,4.000E-02
5.40E+01,1.841E+01,-1.556E+01,-1.052E+02,4.000E-02
5.50E+01,1.862E+01,-1.607E+01,-1.034E+02,4.000E-02
5.60E+01,1.884E+01,-1.530E+01,-1.027E+02,4.000E-02
5.70E+01,1.905E+01,-1.547E+01,-1.042E+02,4.000E-02
5.80E+01,1.928E+01,-1.519E+01,-1.040E+02,4.000E-02
5.90E+01,1.950E+01,-1.505E+01,-1.037E+02,4.000E-02
