in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+01,1.935E+01,8.436E+01,4.000E-02
2.00E+00,1.012E+01,1.941E+01,8.426E+01,4.000E-02
3.00E+00,1.023E+01,1.959E+01,8.413E+01,4.000E-02
4.00E+00,1.035E+01,1.975E+01,8.418E+01,4.000E-02
5.00E+00,1.047E+01,1.975E+01,8.419E+01,4.000E-02
6.00E+00,1.059E+01,1.985E+01,8.427E+01,4.000E-02
7.00E+00,1.072E+01,1.988E+01,8.388E+01,4.000E-02
8.00E+00,1.084E+01,1.996E+01,8.358E+01,4.000E-02
9.00E+00,1.096E+01,2.011E+01,8.398E+01,4.000E-02
1.00E+01,1.109E+01,2.028E+01,8.376E+01,4.000E-02
1.10E+01,1.122E+01,2.033E+01,8.368E+01,4.000E-02
1.20E+01,1.135E+01,2.043E+01,8.350E+01,4.000E-02
1.30E+01,1.148E+01,2.052E+01,8.358E+01,4.000E-02
1.40E+01,1.161E+01,2.062E+01,8.306E+01,4.000E-02
1.50E+01,1.175E+01,2.076E+01,8.343E+01,4.000E-02
1.60E+01,1.189E+01,2.086E+01,8.355E+01,4.000E-02
1.70E+01,1.202E+01,2.089E+01,8.302E+01,4.000E-02
1.80E+01,1.216E+01,2.103E+01,8.300E+01,4.000E-02
1.90E+01,1.230E+01,2.112E+01,8.267E+01,4.000E-02
2.00E+01,1.245E+01,2.117E+01,8.259E+01,4.000E-02
2.10E+01,1.259E+01,2.133E+01,8.276E+01,4.000E-02
2.20E+01,1.274E+01,2.139E+01,8.295E+01,4.000E-02
2.30E+01,1.288E+01,2.150E+01,8.300E+01,4.000E-02
2.40E+01,1.303E+01,2.157E+01,8.247E+01,4.000E-02
2.50E+01,1.318E+01,2.172E+01,8.209E+01,4.000E-02
2.60E+01,1.334E+01,2.183E+01,8.235E+01,4.000E-02
2.70E+01,1.349E+01,2.189E+01,8.188E+01,4.000E-02
2.80E+01,1.365E+01,2.196E+01,8.213E+01,4.000E-02
2.90E+01,1.380E+01,2.212E+01,8.208E+01,4.000E-02
3.00E+01,1.396E+01,2.219E+01,8.173E+01,4.000E-02
3.10E+01,1.413E+01,2.227E+01,8.199E+01,4.000E-02
3.20E+01,1.429E+01,2.240E+01,8.216E+01,4.000E-02
3.30E+01,1.445E+01,2.257E+01,8.147E+01,4.000E-02
3.40E+01,1.462E+01,2.260E+01,8.183E+01,4.000E-02
3.50E+01,1.479E+01,2.268E+01,8.156E+01,4.000E-02
3.60E+01,1.496E+01,2.283E+01,8.129E+01,4.000E-02
3.70E+01,1.514E+01,2.290E+01,8.127E+01,4.000E-02
3.80E+01,1.531E+01,2.298E+01,8.127E+01,4.000E-02
3.90E+01,1.549E+01,2.304E+01,8.102E+01,4.000E-02
4.00E+01,1.567E+01,2.316E+01,8.089E+01,4.000E-02
4.10E+01,1.585E+01,2.329E+01,8.081E+01,4.000E-02
4.20E+01,1.603E+01,2.343E+01,8.075E+01,4.000E-02
4.30E+01,1.622E+01,2.348E+01,8.070E+01,4.000E-02
4.40E+01,1.641E+01,2.351E+01,8.025E+01,4.000E-02
4.50E+01,1.660E+01,2.362E+01,8.034E+01,4.000E-02
4.60E+01,1.679E+01,2.376E+01,8.008E+01,4.000E-02
4.70E+01,1.698E+01,2.385E+01,8.000E+01,4.000E-02
4.80E+01,1.718E+01,2.399E+01,8.010E+01,4.000E-02
4.90E+01,1.738E+01,2.404E+01,7.980E+01,4.000E-02
5.00E+01,1.758E+01,2.417E+01,7.954E+01,4.000E-02
5.10E+01,1.778E+01,2.430E+01,7.983E+01,4.000E-02
5.20E+01,1.799E+01,2.435E+01,7.957E+01,4.000E-02
5.30E+01,1.820E+01,2.451E+01,7.945E+01,4.000E-02
5.40E+01,1.841E+01,2.456E+01,7.916E+01,4.000E-02
5.50E+01,1.862E+01,2.466E+01,7.932E+01,4.000E-02
5.60E+01,1.884E+01,2.477E+01,7.927E+01,4.000E-02
5.70E+01,1.905E+01,2.485E+01,7.899E+01,4.000E-02
5.80E+01,1.928E+01,2.499E+01,7.876E+01,4.000E-02
5.90E+01,1.950E+01,2.504E+01,7.874E+01,4.000E-02
6.00E+01,1.972E+01,2.511E+01,7.856E+01,4.000E-02
6.10E+01,1.995E+01,2.525E+01,7.842E+01,4.000E-02
6.20E+01,2.018E+01,2.537E+01,7.832E+01,4.000E-02
6.30E+01,2.042E+01,2.540E+01,7.803E+01,4.000E-02
6.40E+01,2.065E+01,2.560E+01,7.780E+01,4.000E-02
6.50E+01,2.089E+01,2.562E+01,7.812E+01,4.000E-02
6.60E+01,2.113E+01,2.570E+01,7.765E+01,4.000E-02
6.70E+01,2.138E+01,2.582E+01,7.746E+01,4.000E-02
6.80E+01,2.163E+01,2.586E+01,7.758E+01,4.000E-02
6.90E+01,2.188E+01,2.605E+01,7.724E+01,4.000E-02
7.00E+01,2.213E+01,2.608E+01,7.701E+01,4.000E-02
7.10E+01,2.239E+01,2.624E+01,7.723E+01,4.000E-02
7.20E+01,2.265E+01,2.627E+01,7.692E+01,4.000E-02
7.30E+01,2.291E+01,2.641E+01,7.664E+01,4.000E-02
7.40E+01,2.317E+01,2.653E+01,7.641E+01,4.000E-02
7.50E+01,2.344E+01,2.654E+01,7.618E+01,4.000E-02
7.60E+01,2.371E+01,2.670E+01,7.632E+01,4.000E-02
7.70E+01,2.399E+01,2.677E+01,7.556E+01,4.000E-02
7.80E+01,2.427E+01,2.688E+01,7.603E+01,4.000E-02
7.90E+01,2.455E+01,2.694E+01,7.573E+01,4.000E-02
8.00E+01,2.483E+01,2.713E+01,7.555E+01,4.000E-02
8.10E+01,2.512E+01,2.713E+01,7.572E+01,4.000E-02
8.20E+01,2.541E+01,2.721E+01,7.524E+01,4.000E-02
8.30E+01,2.570E+01,2.732E+01,7.497E+01,4.000E-02
8.40E+01,2.600E+01,2.742E+01,7.500E+01,4.000E-02
8.50E+01,2.630E+01,2.751E+01,7.474E+01,4.000E-02
8.60E+01,2.661E+01,2.760E+01,7.443E+01,4.000E-02
8.70E+01,2.692E+01,2.774E+01,7.431E+01,4.000E-02
8.80E+01,2.723E+01,2.780E+01,7.421E+01,4.000E-02
8.90E+01,2.754E+01,2.789E+01,7.378E+01,4.000E-02
9.00E+01,2.786E+01,2.800E+01,7.362E+01,4.000E-02
9.10E+01,2.818E+01,2.809E+01,7.376E+01,4.000E-02
9.20E+01,2.851E+01,2.819E+01,7.349E+01,4.000E-02
9.30E+01,2.884E+01,2.826E+01,7.335E+01,4.000E-02
9.40E+01,2.917E+01,2.832E+01,7.270E+01,4.000E-02
9.50E+01,2.951E+01,2.852E+01,7.292E+01,4.000E-02
9.60E+01,2.985E+01,2.858E+01,7.255E+01,4.000E-02
9.70E+01,3.020E+01,2.860E+01,7.252E+01,4.000E-02
9.80E+01,3.055E+01,2.869E+01,7.240E+01,4.000E-02
9.90E+01,3.090E+01,2.880E+01,7.188E+01,4.000E-02
1.00E+02,3.126E+01,2.884E+01,7.167E+01,4.000E-02
1.01E+02,3.162E+01,2.896E+01,7.174E+01,4.000E-02
1.02E+02,3.199E+01,2.906E+01,7.124E+01,4.000E-02
1.03E+02,3.236E+01,2.917E+01,7.117E+01,4.000E-02
1.04E+02,3.273E+01,2.925E+01,7.103E+01,4.000E-02
1.05E+02,3.311E+01,2.935E+01,7.073E+01,4.000E-02
1.06E+02,3.350E+01,2.942E+01,7.054E+01,4.000E-02
1.07E+02,3.388E+01,2.953E+01,7.020E+01,4.000E-02
1.08E+02,3.428E+01,2.963E+01,7.012E+01,4.000E-02
1.09E+02,3.467E+01,2.970E+01,7.010E+01,4.000E-02
1.10E+02,3.508E+01,2.976E+01,6.955E+01,4.000E-02
1.11E+02,3.548E+01,2.986E+01,6.948E+01,4.000E-02
1.12E+02,3.589E+01,2.997E+01,6.902E+01,4.000E-02
1.13E+02,3.631E+01,3.004E+01,6.914E+01,4.000E-02
1.14E+02,3.673E+01,3.015E+01,6.880E+01,4.000E-02
1.15E+02,3.715E+01,3.024E+01,6.865E+01,4.000E-02
1.16E+02,3.758E+01,3.032E+01,6.844E+01,4.000E-02
1.17E+02,3.802E+01,3.038E+01,6.804E+01,4.000E-02
1.18E+02,3.846E+01,3.054E+01,6.804E+01,4.000E-02
1.19E+02,3.890E+01,3.057E+01,6.773E+01,4.000E-02
1.20E+02,3.936E+01,3.070E+01,6.736E+01,4.000E-02
1.21E+02,3.981E+01,3.075E+01,6.742E+01,4.000E-02
1.22E+02,4.027E+01,3.086E+01,6.708E+01,4.000E-02
1.23E+02,4.074E+01,3.097E+01,6.659E+01,4.000E-02
1.24E+02,4.121E+01,3.099E+01,6.672E+01,4.000E-02
1.25E+02,4.169E+01,3.105E+01,6.617E+01,4.000E-02
1.26E+02,4.217E+01,3.122E+01,6.572E+01,4.000E-02
1.27E+02,4.266E+01,3.127E+01,6.532E+01,4.000E-02
1.28E+02,4.315E+01,3.143E+01,6.516E+01,4.000E-02
1.29E+02,4.365E+01,3.149E+01,6.507E+01,4.000E-02
1.30E+02,4.416E+01,3.154E+01,6.463E+01,4.000E-02
1.31E+02,4.467E+01,3.160E+01,6.460E+01,4.000E-02
1.32E+02,4.519E+01,3.172E+01,6.431E+01,4.000E-02
1.33E+02,4.571E+01,3.179E+01,6.386E+01,4.000E-02
1.34E+02,4.624E+01,3.188E+01,6.378E+01,4.000E-02
1.35E+02,4.677E+01,3.199E+01,6.353E+01,4.000E-02
1.36E+02,4.732E+01,3.207E+01,6.329E+01,4.000E-02
1.37E+02,4.786E+01,3.212E+01,6.297E+01,4.000E-02
1.38E+02,4.842E+01,3.219E+01,6.251E+01,4.000E-02
1.39E+02,4.898E+01,3.234E+01,6.248E+01,4.000E-02
1.40E+02,4.955E+01,3.244E+01,6.198E+01,4.000E-02
1.41E+02,5.012E+01,3.245E+01,6.161E+01,4.000E-02
1.42E+02,5.070E+01,3.258E+01,6.156E+01,4.000E-02
1.43E+02,5.129E+01,3.262E+01,6.139E+01,4.000E-02
1.44E+02,5.188E+01,3.267E+01,6.084E+01,4.000E-02
1.45E+02,5.248E+01,3.281E+01,6.049E+01,4.000E-02
1.46E+02,5.309E+01,3.286E+01,6.042E+01,4.000E-02
1.47E+02,5.370E+01,3.293E+01,6.006E+01,4.000E-02
1.48E+02,5.433E+01,3.307E+01,6.005E+01,4.000E-02
1.49E+02,5.495E+01,3.311E+01,5.967E+01,4.000E-02
1.50E+02,5.559E+01,3.318E+01,5.935E+01,4.000E-02
1.51E+02,5.623E+01,3.325E+01,5.888E+01,4.000E-02
