in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+01,1.381E+01,9.279E+01,3.000E-02
2.00E+00,1.012E+01,1.372E+01,9.190E+01,3.000E-02
3.00E+00,1.023E+01,1.396E+01,9.261E+01,3.000E-02
4.00E+00,1.035E+01,1.433E+01,9.276E+01,3.000E-02
5.00E+00,1.047E+01,1.448E+01,9.317E+01,3.000E-02
6.00E+00,1.059E+01,1.465E+01,9.352E+01,3.000E-02
7.00E+00,1.072E+01,1.482E+01,9.457E+01,3.000E-02
8.00E+00,1.084E+01,1.481E+01,9.447E+01,3.000E-02
9.00E+00,1.096E+01,1.494E+01,9.385E+01,3.000E-02
1.00E+01,1.109E+01,1.529E+01,9.594E+01,3.000E-02
1.10E+01,1.122E+01,1.537E+01,9.514E+01,3.000E-02
1.20E+01,1.135E+01,1.574E+01,9.507E+01,3.000E-02
1.30E+01,1.148E+01,1.606E+01,9.575E+01,3.000E-02
1.40E+01,1.161E+01,1.608E+01,9.434E+01,3.000E-02
1.50E+01,1.175E+01,1.618E+01,9.470E+01,3.000E-02
1.60E+01,1.189E+01,1.621E+01,9.459E+01,3.000E-02
1.70E+01,1.202E+01,1.651E+01,9.472E+01,3.000E-02
1.80E+01,1.216E+01,1.678E+01,9.482E+01,3.000E-02
1.90E+01,1.230E+01,1.671E+01,9.589E+01,3.000E-02
2.00E+01,1.245E+01,1.706E+01,9.520E+01,3.000E-02
2.10E+01,1.259E+01,1.718E+01,9.549E+01,3.000E-02
2.20E+01,1.274E+01,1.721E+01,9.521E+01,3.000E-02
2.30E+01,1.288E+01,1.765E+01,9.575E+01,3.000E-02
2.40E+01,1.303E+01,1.759E+01,9.501E+01,3.000E-02
2.50E+01,1.318E+01,1.793E+01,9.604E+01,3.000E-02
2.60E+01,1.334E+01,1.795E+01,9.605E+01,3.000E-02
2.70E+01,1.349E+01,1.830E+01,9.635E+01,3.000E-02
2.80E+01,1.365E+01,1.826E+01,9.739E+01,3.000E-02
2.90E+01,1.380E+01,1.853E+01,9.582E+01,3.000E-02
3.00E+01,1.396E+01,1.864E+01,9.666E+01,3.000E-02
3.10E+01,1.413E+01,1.875E+01,9.595E+01,3.000E-02
3.20E+01,1.429E+01,1.908E+01,9.538E+01,3.000E-02
3.30E+01,1.445E+01,1.912E+01,9.637E+01,3.000E-02
3.40E+01,1.462E+01,1.928E+01,9.636E+01,3.000E-02
3.50E+01,1.479E+01,1.952E+01,9.600E+01,3.000E-02
3.60E+01,1.496E+01,1.979E+01,9.640E+01,3.000E-02
3.70E+01,1.514E+01,1.989E+01,9.603E+01,3.000E-02
3.80E+01,1.531E+01,1.982E+01,9.609E+01,3.000E-02
3.90E+01,1.549E+01,2.002E+01,9.600E+01,3.000E-02
4.00E+01,1.567E+01,2.019E+01,9.572E+01,3.000E-02
4.10E+01,1.585E+01,2.035E+01,9.652E+01,3.000E-02
4.20E+01,1.603E+01,2.055E+01,9.641E+01,3.000E-02
4.30E+01,1.622E+01,2.072E+01,9.657E+01,3.000E-02
4.40E+01,1.641E+01,2.090E+01,9.615E+01,3.000E-02
4.50E+01,1.660E+01,2.103E+01,9.572E+01,3.000E-02
4.60E+01,1.679E+01,2.120E+01,9.656E+01,3.000E-02
4.70E+01,1.698E+01,2.129E+01,9.631E+01,3.000E-02
4.80E+01,1.718E+01,2.127E+01,9.505E+01,3.000E-02
4.90E+01,1.738E+01,2.152E+01,9.634E+01,3.000E-02
5.00E+01,1.758E+01,2.168E+01,9.545E+01,3.000E-02
5.10E+01,1.778E+01,2.184E+01,9.531E+01,3.000E-02
5.20E+01,1.799E+01,2.212E+01,9.547E+01,3.000E-02
5.30E+01,1.820E+01,2.212E+01,9.540E+01,3.000E-02
5.40E+01,1.841E+01,2.179E+01,9.664E+01,3.000E-02
5.50E+01,1.862E+01,2.170E+01,9.521E+01,3.000E-02
5.60E+01,1.884E+01,2.177E+01,9.656E+01,3.000E-02
5.70E+01,1.905E+01,2.215E+01,9.514E+01,3.000E-02
5.80E+01,1.928E+01,2.221E+01,9.476E+01,3.000E-02
5.90E+01,1.950E+01,2.225E+01,9.522E+01,3.000E-02
6.00E+01,1.972E+01,2.264E+01,9.520E+01,3.000E-02
6.10E+01,1.995E+01,2.272E+01,9.456E+01,3.000E-02
6.20E+01,2.018E+01,2.267E+01,9.508E+01,3.000E-02
6.30E+01,2.042E+01,2.301E+01,9.452E+01,3.000E-02
6.40E+01,2.065E+01,2.308E+01,9.489E+01,3.000E-02
6.50E+01,2.089E+01,2.301E+01,9.450E+01,3.000E-02
6.60E+01,2.113E+01,2.332E+01,9.455E+01,3.000E-02
6.70E+01,2.138E+01,2.352E+01,9.406E+01,3.000E-02
6.80E+01,2.163E+01,2.381E+01,9.389E+01,3.000E-02
6.90E+01,2.188E+01,2.372E+01,9.357E+01,3.000E-02
7.00E+01,2.213E+01,2.401E+01,9.423E+01,3.000E-02
7.10E+01,2.239E+01,2.403E+01,9.444E+01,3.000E-02
7.20E+01,2.265E+01,2.432E+01,9.365E+01,3.000E-02
7.30E+01,2.291E+01,2.426E+01,9.329E+01,3.000E-02
7.40E+01,2.317E+01,2.451E+01,9.254E+01,3.000E-02
7.50E+01,2.344E+01,2.495E+01,9.295E+01,3.000E-02
7.60E+01,2.371E+01,2.483E+01,9.384E+01,3.000E-02
7.70E+01,2.399E+01,2.499E+01,9.259E+01,3.000E-02
7.80E+01,2.427E+01,2.495E+01,9.309E+01,3.000E-02
7.90E+01,2.455E+01,2.462E+01,9.268E+01,3.000E-02
8.00E+01,2.483E+01,2.487E+01,9.300E+01,3.000E-02
8.10E+01,2.512E+01,2.477E+01,9.291E+01,3.000E-02
8.20E+01,2.541E+01,2.501E+01,9.235E+01,3.000E-02
8.30E+01,2.570E+01,2.535E+01,9.202E+01,3.000E-02
8.40E+01,2.600E+01,2.554E+01,9.178E+01,3.000E-02
8.50E+01,2.630E+01,2.542E+01,9.151E+01,3.000E-02
8.60E+01,2.661E+01,2.565E+01,9.237E+01,3.000E-02
8.70E+01,2.692E+01,2.582E+01,9.122E+01,3.000E-02
8.80E+01,2.723E+01,2.606E+01,9.144E+01,3.000E-02
8.90E+01,2.754E+01,2.590E+01,9.156E+01,3.000E-02
9.00E+01,2.786E+01,2.616E+01,9.073E+01,3.000E-02
9.10E+01,2.818E+01,2.621E+01,9.000E+01,3.000E-02
9.20E+01,2.851E+01,2.652E+01,9.044E+01,3.000E-02
9.30E+01,2.884E+01,2.666E+01,9.033E+01,3.000E-02
9.40E+01,2.917E+01,2.687E+01,8.910E+01,3.000E-02
9.50E+01,2.951E+01,2.677E+01,8.993E+01,3.000E-02
9.60E+01,2.985E+01,2.697E+01,8.964E+01,3.000E-02
