in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+01,-9.423E-04,-5.555E-02,4.000E-02
2.00E+00,1.012E+01,3.407E-03,-1.218E-02,4.000E-02
3.00E+00,1.023E+01,1.284E-02,-2.063E-02,4.000E-02
4.00E+00,1.035E+01,1.664E-02,-1.273E-02,4.000E-02
5.00E+00,1.047E+01,1.448E-02,-5.505E-02,4.000E-02
6.00E+00,1.059E+01,6.856E-03,-4.736E-02,4.000E-02
7.00E+00,1.072E+01,4.343E-03,-4.082E-02,4.000E-02
8.00E+00,1.084E+01,1.238E-02,-3.208E-02,4.000E-02
9.00E+00,1.096E+01,9.857E-03,-5.383E-02,4.000E-02
1.00E+01,1.109E+01,1.235E-02,-2.077E-02,4.000E-02
1.10E+01,1.122E+01,1.105E-02,-5.085E-02,4.000E-02
1.20E+01,1.135E+01,8.606E-03,-7.389E-02,4.000E-02
1.30E+01,1.148E+01,1.970E-02,-1.799E-02,4.000E-02
1.40E+01,1.161E+01,1.464E-02,-1.740E-03,4.000E-02
1.50E+01,1.175E+01,2.008E-02,-6.939E-02,4.000E-02
1.60E+01,1.189E+01,1.174E-02,-2.420E-02,4.000E-02
1.70E+01,1.202E+01,7.217E-03,-6.842E-02,4.000E-02
1.80E+01,1.216E+01,1.278E-02,-5.069E-02,4.000E-02
1.90E+01,1.230E+01,1.787E-02,-4.670E-02,4.000E-02
2.00E+01,1.245E+01,1.518E-02,-1.789E-02,4.000E-02
2.10E+01,1.259E+01,1.448E-02,-1.118E-02,4.000E-02
2.20E+01,1.274E+01,3.185E-03,-5.328E-02,4.000E-02
2.30E+01,1.288E+01,5.348E-03,-6.536E-02,4.000E-02
2.40E+01,1.303E+01,1.290E-02,-5.804E-02,4.000E-02
2.50E+01,1.318E+01,1.995E-02,-2.929E-02,4.000E-02
2.60E+01,1.334E+01,1.707E-02,-5.539E-02,4.000E-02
2.70E+01,1.349E+01,1.177E-02,-3.255E-02,4.000E-02
2.80E+01,1.365E+01,9.233E-03,-8.018E-02,4.000E-02
2.90E+01,1.380E+01,1.865E-02,-2.096E-02,4.000E-02
3.00E+01,1.396E+01,1.662E-02,-5.119E-02,4.000E-02
3.10E+01,1.413E+01,7.092E-03,-4.323E-02,4.000E-02
3.20E+01,1.429E+01,1.201E-02,-3.411E-02,4.000E-02
3.30E+01,1.445E+01,1.829E-02,-1.110E-03,4.000E-02
3.40E+01,1.462E+01,5.794E-03,-3.613E-03,4.000E-02
3.50E+01,1.479E+01,1.316E-02,-2.282E-02,4.000E-02
3.60E+01,1.496E+01,2.642E-03,-3.240E-02,4.000E-02
3.70E+01,1.514E+01,3.529E-03,-7.296E-02,4.000E-02
3.80E+01,1.531E+01,1.418E-02,-5.434E-02,4.000E-02
3.90E+01,1.549E+01,1.413E-02,-3.197E-02,4.000E-02
4.00E+01,1.567E+01,3.911E-03,1.202E-03,4.000E-02
4.10E+01,1.585E+01,1.384E-02,-9.170E-02,4.000E-02
4.20E+01,1.603E+01,1.810E-02,-7.585E-02,4.000E-02
4.30E+01,1.622E+01,7.765E-03,-3.802E-02,4.000E-02
4.40E+01,1.641E+01,1.473E-02,2.075E-03,4.000E-02
4.50E+01,1.660E+01,2.459E-02,-1.867E-02,4.000E-02
4.60E+01,1.679E+01,1.588E-02,-7.301E-02,4.000E-02
4.70E+01,1.698E+01,7.641E-04,-1.072E-02,4.000E-02
4.80E+01,1.718E+01,1.655E-02,-5.744E-02,4.000E-02
4.90E+01,1.738E+01,1.313E-02,-9.180E-02,4.000E-02
5.00E+01,1.758E+01,7.167E-03,-5.351E-02,4.000E-02
5.10E+01,1.778E+01,1.274E-02,-9.999E-02,4.000E-02
5.20E+01,1.799E+01,1.842E-02,-3.162E-02,4.000E-02
5.30E+01,1.820E+01,1.261E-02,-6.655E-02,4.000E-02
5.40E+01,1.841E+01,1.191E-02,-6.306E-02,4.000E-02
5.50E+01,1.862E+01,1.206E-02,-8.353E-02,4.000E-02
5.60E+01,1.884E+01,1.744E-02,-5.654E-02,4.000E-02
5.70E+01,1.905E+01,2.215E-02,-2.424E-02,4.000E-02
5.80E+01,1.928E+01,1.541E-02,-4.436E-02,4.000E-02
5.90E+01,1.950E+01,2.277E-02,-1.050E-01,4.000E-02
6.00E+01,1.972E+01,1.170E-02,-8.836E-02,4.000E-02
6.10E+01,1.995E+01,6.443E-03,-7.598E-02,4.000E-02
6.20E+01,2.018E+01,4.862E-03,-3.877E-02,4.000E-02
6.30E+01,2.042E+01,1.383E-02,-9.179E-02,4.000E-02
6.40E+01,2.065E+01,1.378E-02,-3.446E-02,4.000E-02
6.50E+01,2.089E+01,7.409E-03,-9.371E-02,4.000E-02
6.60E+01,2.113E+01,1.342E-02,-5.325E-02,4.000E-02
6.70E+01,2.138E+01,8.464E-03,-7.331E-02,4.000E-02
6.80E+01,2.163E+01,1.426E-02,-2.801E-02,4.000E-02
6.90E+01,2.188E+01,1.201E-02,-1.822E-01,4.000E-02
7.00E+01,2.213E+01,1.745E-02,-3.152E-02,4.000E-02
7.10E+01,2.239E+01,8.631E-03,-5.297E-02,4.000E-02
7.20E+01,2.265E+01,1.727E-02,-7.349E-02,4.000E-02
7.30E+01,2.291E+01,2.027E-02,-3.170E-02,4.000E-02
7.40E+01,2.317E+01,1.099E-02,-8.340E-02,4.000E-02
7.50E+01,2.344E+01,2.075E-02,-8.432E-02,4.000E-02
7.60E+01,2.371E+01,1.741E-02,-5.903E-02,4.000E-02
7.70E+01,2.399E+01,1.658E-02,-5.379E-02,4.000E-02
7.80E+01,2.427E+01,8.195E-03,-9.291E-02,4.000E-02
7.90E+01,2.455E+01,1.030E-02,-6.212E-02,4.000E-02
8.00E+01,2.483E+01,1.302E-02,-7.812E-02,4.000E-02
8.10E+01,2.512E+01,8.425E-03,-2.618E-02,4.000E-02
8.20E+01,2.541E+01,1.619E-02,-6.862E-02,4.000E-02
8.30E+01,2.570E+01,1.215E-02,-9.497E-02,4.000E-02
8.40E+01,2.600E+01,1.498E-02,-1.066E-01,4.000E-02
8.50E+01,2.630E+01,1.244E-02,-8.649E-02,4.000E-02
8.60E+01,2.661E+01,1.594E-02,-1.200E-01,4.000E-02
8.70E+01,2.692E+01,1.883E-02,-4.148E-02,4.000E-02
8.80E+01,2.723E+01,1.986E-02,-1.454E-01,4.000E-02
8.90E+01,2.754E+01,1.793E-02,-7.207E-02,4.000E-02
9.00E+01,2.786E+01,1.215E-02,-1.593E-01,4.000E-02
9.10E+01,2.818E+01,1.233E-02,-7.612E-02,4.000E-02
9.20E+01,2.851E+01,9.626E-03,-1.105E-01,4.000E-02
9.30E+01,2.884E+01,1.674E-02,-1.095E-01,4.000E-02
9.40E+01,2.917E+01,1.549E-02,-9.473E-02,4.000E-02
9.50E+01,2.951E+01,2.410E-02,-9.962E-02,4.000E-02
9.60E+01,2.985E+01,1.012E-02,-9.955E-02,4.000E-02
9.70E+01,3.020E+01,1.148E-02,-3.367E-02,4.000E-02
9.80E+01,3.055E+01,1.651E-02,-1.089E-01,4.000E-02
9.90E+01,3.090E+01,1.326E-02,-1.135E-01,4.000E-02
1.00E+02,3.126E+01,1.580E-02,-8.662E-02,4.000E-02
1.01E+02,3.162E+01,9.467E-03,-9.814E-02,4.000E-02
1.02E+02,3.199E+01,1.236E-02,-7.659E-02,4.000E-02
1.03E+02,3.236E+01,2.232E-02,-9.406E-02,4.000E-02
1.04E+02,3.273E+01,1.366E-02,-8.876E-02,4.000E-02
1.05E+02,3.311E+01,1.034E-02,-8.170E-02,4.000E-02
1.06E+02,3.350E+01,1.017E-02,-6.151E-02,4.000E-02
1.07E+02,3.388E+01,8.993E-03,-1.156E-01,4.000E-02
1.08E+02,3.428E+01,9.950E-03,-1.153E-01,4.000E-02
1.09E+02,3.467E+01,8.556E-03,-1.121E-01,4.000E-02
1.10E+02,3.508E+01,1.935E-02,-1.258E-01,4.000E-02
1.11E+02,3.548E+01,1.611E-02,-6.973E-02,4.000E-02
1.12E+02,3.589E+01,1.177E-02,-1.293E-01,4.000E-02
1.13E+02,3.631E+01,1.328E-02,-1.237E-01,4.000E-02
1.14E+02,3.673E+01,1.511E-02,-9.239E-02,4.000E-02
1.15E+02,3.715E+01,1.606E-02,-1.110E-01,4.000E-02
1.16E+02,3.758E+01,1.909E-02,-1.207E-01,4.000E-02
1.17E+02,3.802E+01,1.053E-02,-1.158E-01,4.000E-02
1.18E+02,3.846E+01,1.127E-02,-1.317E-01,4.000E-02
1.19E+02,3.890E+01,6.285E-03,-1.472E-01,4.000E-02
1.20E+02,3.936E+01,1.161E-02,-1.487E-01,4.000E-02
1.21E+02,3.981E+01,1.287E-02,-1.104E-01,4.000E-02
1.22E+02,4.027E+01,7.308E-03,-6.597E-02,4.000E-02
1.23E+02,4.074E+01,7.241E-03,-1.196E-01,4.000E-02
1.24E+02,4.121E+01,9.382E-03,-1.214E-01,4.000E-02
1.25E+02,4.169E+01,1.571E-02,-1.397E-01,4.000E-02
1.26E+02,4.217E+01,5.262E-03,-1.237E-01,4.000E-02
1.27E+02,4.266E+01,6.077E-03,-1.010E-01,4.000E-02
1.28E+02,4.315E+01,1.242E-02,-1.395E-01,4.000E-02
1.29E+02,4.365E+01,1.321E-02,-1.574E-01,4.000E-02
1.30E+02,4.416E+01,9.584E-03,-1.111E-01,4.000E-02
1.31E+02,4.467E+01,1.511E-02,-1.117E-01,4.000E-02
1.32E+02,4.519E+01,1.649E-02,-1.495E-01,4.000E-02
1.33E+02,4.571E+01,1.573E-02,-1.501E-01,4.000E-02
1.34E+02,4.624E+01,1.448E-02,-1.870E-01,4.000E-02
1.35E+02,4.677E+01,1.046E-02,-1.464E-01,4.000E-02
1.36E+02,4.732E+01,1.572E-02,-1.477E-01,4.000E-02
1.37E+02,4.786E+01,8.466E-03,-1.578E-01,4.000E-02
1.38E+02,4.842E+01,1.466E-02,-1.044E-01,4.000E-02
1.39E+02,4.898E+01,1.622E-02,-1.754E-01,4.000E-02
1.40E+02,4.955E+01,3.343E-03,-1.685E-01,4.000E-02
1.41E+02,5.012E+01,1.749E-02,-1.490E-01,4.000E-02
1.42E+02,5.070E+01,1.705E-02,-1.787E-01,4.000E-02
1.43E+02,5.129E+01,2.236E-02,-1.451E-01,4.000E-02
1.44E+02,5.188E+01,1.020E-02,-1.663E-01,4.000E-02
1.45E+02,5.248E+01,1.494E-02,-1.863E-01,4.000E-02
1.46E+02,5.309E+01,2.685E-02,-1.733E-01,4.000E-02
1.47E+02,5.370E+01,1.879E-02,-1.260E-01,4.000E-02
1.48E+02,5.433E+01,7.995E-03,-1.787E-01,4.000E-02
1.49E+02,5.495E+01,2.300E-02,-2.043E-01,4.000E-02
1.50E+02,5.559E+01,2.077E-02,-1.079E-01,4.000E-02
1.51E+02,5.623E+01,2.324E-02,-1.420E-01,4.000E-02
1.52E+02,5.689E+01,1.712E-02,-1.955E-01,4.000E-02
1.53E+02,5.754E+01,1.563E-02,-1.476E-01,4.000E-02
1.54E+02,5.821E+01,1.300E-02,-1.923E-01,4.000E-02
