in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+01,2.319E-04,-1.094E-01,4.000E-02
2.00E+00,1.012E+01,1.797E-02,-1.314E-01,4.000E-02
3.00E+00,1.023E+01,1.388E-02,-1.772E-01,4.000E-02
4.00E+00,1.035E+01,2.156E-02,-1.733E-01,4.000E-02
5.00E+00,1.047E+01,2.237E-02,-1.947E-01,4.000E-02
6.00E+00,1.059E+01,1.894E-02,-2.141E-01,4.000E-02
7.00E+00,1.072E+01,2.658E-02,-1.644E-01,4.000E-02
8.00E+00,1.084E+01,1.629E-02,-1.923E-01,4.000E-02
9.00E+00,1.096E+01,2.235E-02,-1.852E-01,4.000E-02
1.00E+01,1.109E+01,2.786E-02,-1.619E-01,4.000E-02
1.10E+01,1.122E+01,3.194E-02,-1.463E-01,4.000E-02
1.20E+01,1.135E+01,2.532E-02,-1.739E-01,4.000E-02
1.30E+01,1.148E+01,2.005E-02,-1.563E-01,4.000E-02
1.40E+01,1.161E+01,1.962E-02,-2.300E-01,4.000E-02
1.50E+01,1.175E+01,2.847E-02,-2.227E-01,4.000E-02
1.60E+01,1.189E+01,2.340E-02,-1.758E-01,4.000E-02
1.70E+01,1.202E+01,1.776E-02,-1.768E-01,4.000E-02
1.80E+01,1.216E+01,2.516E-02,-1.589E-01,4.000E-02
1.90E+01,1.230E+01,1.969E-02,-2.477E-01,4.000E-02
2.00E+01,1.245E+01,1.787E-02,-2.067E-01,4.000E-02
2.10E+01,1.259E+01,2.323E-02,-2.246E-01,4.000E-02
2.20E+01,1.274E+01,1.905E-02,-2.366E-01,4.000E-02
2.30E+01,1.288E+01,1.624E-02,-2.170E-01,4.000E-02
2.40E+01,1.303E+01,1.886E-02,-2.152E-01,4.000E-02
2.50E+01,1.318E+01,1.863E-02,-1.792E-01,4.000E-02
2.60E+01,1.334E+01,2.121E-02,-2.509E-01,4.000E-02
2.70E+01,1.349E+01,2.769E-02,-2.086E-01,4.000E-02
2.80E+01,1.365E+01,2.332E-02,-1.883E-01,4.000E-02
2.90E+01,1.380E+01,1.286E-02,-2.286E-01,4.000E-02
3.00E+01,1.396E+01,2.041E-02,-2.352E-01,4.000E-02
3.10E+01,1.413E+01,2.121E-02,-1.897E-01,4.000E-02
3.20E+01,1.429E+01,2.218E-02,-2.392E-01,4.000E-02
3.30E+01,1.445E+01,1.936E-02,-2.236E-01,4.000E-02
3.40E+01,1.462E+01,1.671E-02,-2.262E-01,4.000E-02
3.50E+01,1.479E+01,2.279E-02,-2.055E-01,4.000E-02
3.60E+01,1.496E+01,2.724E-02,-2.301E-01,4.000E-02
3.70E+01,1.514E+01,1.175E-02,-2.275E-01,4.000E-02
