in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+01,4.417E-03,-5.703E-01,4.000E-02
2.00E+00,1.012E+01,1.232E-02,-5.650E-01,4.000E-02
3.00E+00,1.023E+01,6.103E-03,-5.857E-01,4.000E-02
4.00E+00,1.035E+01,8.605E-03,-5.454E-01,4.000E-02
5.00E+00,1.047E+01,1.628E-03,-5.785E-01,4.000E-02
6.00E+00,1.059E+01,1.050E-02,-6.040E-01,4.000E-02
7.00E+00,1.072E+01,1.364E-02,-5.942E-01,4.000E-02
8.00E+00,1.084E+01,1.416E-02,-5.619E-01,4.000E-02
9.00E+00,1.096E+01,5.220E-03,-5.660E-01,4.000E-02
1.00E+01,1.109E+01,1.067E-02,-5.832E-01,4.000E-02
1.10E+01,1.122E+01,6.636E-03,-6.003E-01,4.000E-02
1.20E+01,1.135E+01,3.296E-03,-5.752E-01,4.000E-02
1.30E+01,1.148E+01,8.091E-03,-6.174E-01,4.000E-02
1.40E+01,1.161E+01,1.262E-02,-6.595E-01,4.000E-02
1.50E+01,1.175E+01,1.298E-02,-6.346E-01,4.000E-02
1.60E+01,1.189E+01,8.770E-03,-6.308E-01,4.000E-02
1.70E+01,1.202E+01,1.598E-02,-6.606E-01,4.000E-02
1.80E+01,1.216E+01,1.529E-02,-7.028E-01,4.000E-02
1.90E+01,1.230E+01,1.811E-02,-6.702E-01,4.000E-02
2.00E+01,1.245E+01,1.363E-02,-6.601E-01,4.000E-02
2.10E+01,1.259E+01,1.366E-02,-6.397E-01,4.000E-02
2.20E+01,1.274E+01,1.718E-02,-7.124E-01,4.000E-02
2.30E+01,1.288E+01,6.652E-03,-6.213E-01,4.000E-02
2.40E+01,1.303E+01,9.951E-03,-6.989E-01,4.000E-02
2.50E+01,1.318E+01,1.329E-02,-7.047E-01,4.000E-02
2.60E+01,1.334E+01,9.636E-03,-7.049E-01,4.000E-02
2.70E+01,1.349E+01,9.995E-03,-7.141E-01,4.000E-02
2.80E+01,1.365E+01,1.808E-02,-7.719E-01,4.000E-02
2.90E+01,1.380E+01,1.266E-02,-6.486E-01,4.000E-02
3.00E+01,1.396E+01,2.990E-03,-7.740E-01,4.000E-02
3.10E+01,1.413E+01,1.243E-02,-8.105E-01,4.000E-02
3.20E+01,1.429E+01,1.504E-02,-7.780E-01,4.000E-02
3.30E+01,1.445E+01,2.545E-02,-7.687E-01,4.000E-02
3.40E+01,1.462E+01,5.992E-03,-7.915E-01,4.000E-02
3.50E+01,1.479E+01,9.198E-03,-7.923E-01,4.000E-02
3.60E+01,1.496E+01,6.184E-03,-8.005E-01,4.000E-02
3.70E+01,1.514E+01,1.211E-02,-7.769E-01,4.000E-02
3.80E+01,1.531E+01,1.205E-02,-8.128E-01,4.000E-02
3.90E+01,1.549E+01,1.837E-02,-8.097E-01,4.000E-02
4.00E+01,1.567E+01,7.517E-03,-8.527E-01,4.000E-02
4.10E+01,1.585E+01,1.130E-02,-8.424E-01,4.000E-02
4.20E+01,1.603E+01,1.718E-02,-8.258E-01,4.000E-02
4.30E+01,1.622E+01,1.253E-02,-8.742E-01,4.000E-02
4.40E+01,1.641E+01,2.316E-03,-8.487E-01,4.000E-02
4.50E+01,1.660E+01,8.778E-03,-9.109E-01,4.000E-02
