Piston Pressure,A1. Total Deformation,A2. Directional Deformation,A3. Bolt 1 Deformation Probe,A4. Bolt 2 Deformation Probe,A5. Piston 1 Deformation Probe,B1. Stress - All,B2. Stress - Calliper Mount,B3. Stress - Calliper Free-Side,B4. Stress - Bolt Shank 1,B5. Stress - Bolt Shank 2,B6. Stress - Bolt Shank 3,B7. Stress - Bolt Shank 4,B8. Stress - Bolt Shank 5,B9. Stress - Bolt Shank 6,C1. Bolt Working Load 1,C2. Bolt Working Load 2,C3. Bolt Working Load 3,C4. Bolt Working Load 4,C5. Bolt Working Load 5,C6. Bolt Working Load 6,D1. Internal Threads 1,D2. Internal Threads 2,D3. Internal Threads 3,D4. Internal Threads 4
Piston Pressure,Maximum,Maximum,Z,Z,Z,Maximum,Maximum,Maximum,Maximum,Maximum,Maximum,Maximum,Maximum,Maximum,Working Load,Working Load,Working Load,Working Load,Working Load,Working Load,Total,Total,Total,Total
MPa,mm,mm,mm,mm,mm,MPa,MPa,MPa,MPa,MPa,MPa,MPa,MPa,MPa,N,N,N,N,N,N,N,N,N,N
0,2.8118e-002,8.5344e-005,8.2181e-005,4.9326e-005,9.2723e-005,49.732,4.2219,3.5883,3.0878,6.353,6.3328,0.44987,3.1818,3.1442,0.,0.,0.,0.,0.,0.,0.9288,0.85841,0.98989,1.0723
0.5,2.6989e-002,6.2558e-003,5.9951e-003,4.6943e-003,1.9218e-002,144.1,13.491,20.434,35.806,34.992,35.133,35.84,17.172,17.121,209.74,94.386,97.164,208.13,54.415,54.386,214.93,99.34,102.38,213.
1.0,5.2488e-002,1.2536e-002,1.2012e-002,9.4992e-003,3.8579e-002,250.7,26.838,41.089,71.716,69.648,69.949,71.828,33.986,33.97,428.68,179.8,182.9,426.42,111.03,110.83,438.86,190.3,194.12,435.98
1.5,7.901e-002,1.8896e-002,1.8103e-002,1.4393e-002,5.8121e-002,362.35,40.302,61.952,107.99,104.52,104.94,108.2,50.948,51.006,648.91,259.17,261.71,645.86,168.75,168.98,664.14,275.7,279.48,660.09
2.0,0.10544,2.5223e-002,2.4163e-002,1.9253e-002,7.7588e-002,471.78,53.673,82.738,144.12,139.34,139.87,144.44,67.808,67.915,868.38,341.43,343.48,864.6,225.65,225.83,888.67,363.77,367.6,883.54
2.5,0.13184,3.1544e-002,3.0218e-002,2.4105e-002,9.7039e-002,580.55,67.023,103.51,180.22,174.15,174.8,180.64,84.643,84.827,1087.7,424.24,425.68,1083.2,282.22,282.76,1113.1,452.37,456.13,1106.9
3.0,0.15824,3.7861e-002,3.6269e-002,2.8954e-002,0.11648,689.76,80.345,124.27,216.31,208.97,209.71,216.83,101.48,101.74,1307.,507.12,508.29,1301.8,338.9,339.54,1337.4,541.03,545.04,1330.1
3.5,0.18453,4.4143e-002,4.2287e-002,3.3756e-002,0.13583,777.31,93.657,144.92,252.2,243.74,244.56,252.85,118.15,118.52,1525.,594.75,594.23,1519.2,394.67,395.67,1560.4,634.09,637.01,1552.3
4.0,0.21059,5.0345e-002,4.8231e-002,3.8449e-002,0.15497,829.98,107.03,165.34,287.7,278.4,279.32,288.47,134.55,135.,1740.5,690.56,688.69,1734.2,448.99,450.26,1781.,734.77,736.84,1771.9
4.5,0.23652,5.6487e-002,5.4119e-002,4.3059e-002,0.174,881.27,120.41,185.61,323.12,312.98,314.1,323.84,150.88,151.27,1955.3,786.35,790.93,1947.3,503.1,503.57,2000.8,835.42,843.89,1989.8
5.0,0.26239,6.2621e-002,6.0001e-002,4.7667e-002,0.19299,910.97,133.45,205.87,358.36,347.6,348.8,359.17,167.06,167.51,2168.7,887.73,892.12,2160.1,556.35,556.97,2219.3,941.3,949.96,2207.3
5.5,0.28785,6.8625e-002,6.5761e-002,5.2122e-002,0.21165,941.28,146.23,225.75,393.01,382.14,383.43,393.85,182.85,183.34,2378.2,1000.2,1006.5,2368.7,607.7,608.2,2433.9,1057.5,1068.4,2420.6
6.0,0.31219,7.4283e-002,7.1198e-002,5.6176e-002,0.2294,972.05,158.33,244.59,425.86,416.41,417.8,426.78,197.48,198.03,2576.7,1147.3,1154.6,2566.3,653.33,654.02,2637.4,1206.5,1218.3,2622.9
6.5,0.33624,7.9853e-002,7.6553e-002,6.0138e-002,0.24693,1002.2,169.7,263.18,458.27,450.58,452.01,459.24,211.84,212.47,2772.3,1303.,1312.1,2760.9,697.71,698.68,2838.2,1363.7,1377.4,2822.2
7.0,0.36006,8.536e-002,8.1849e-002,6.4039e-002,0.26429,1030.3,181.43,281.58,490.33,484.64,486.1,491.39,226.02,226.74,2965.6,1466.4,1475.4,2953.4,741.18,742.54,3036.5,1528.6,1542.2,3019.5
7.5,0.38372,9.0821e-002,8.7103e-002,6.7899e-002,0.28153,1055.3,193.64,299.87,522.13,518.57,520.11,523.31,240.08,240.89,3157.1,1635.4,1643.1,3144.4,784.26,785.92,3233.2,1699.1,1711.6,3215.2
8.0,0.40725,9.6244e-002,9.2321e-002,7.1718e-002,0.29867,1075.9,205.66,318.04,553.73,552.47,554.06,555.03,254.02,254.94,3347.3,1808.6,1815.,3334.1,826.69,828.8,3428.5,1873.8,1885.1,3409.6
8.5,0.43064,0.10162,9.7498e-002,7.5485e-002,0.31569,1091.4,217.56,336.08,585.13,586.27,587.94,586.53,267.85,268.83,3536.,1986.1,1991.8,3522.3,868.62,870.96,3622.4,2052.8,2063.3,3602.6
9.0,0.45393,0.10696,0.10264,7.9206e-002,0.33263,1106.5,229.2,355.64,616.4,620.02,621.78,617.84,281.6,282.6,3723.9,2165.6,2173.6,3709.2,910.24,912.47,3815.5,2233.8,2246.6,3794.2

DP,0
Piston Pressure (scalar),9
M6 Pretension,0
M4 Pretension,0
Solution Time,1197.0
Mesh Nodes,195306
Mesh Elements,85297
Solution Date,2026-07-05_20-23-17

