Piston Pressure,A1. Total Deformation,A2. Directional Deformation,A3. Bolt 1 Deformation Probe,A4. Bolt 2 Deformation Probe,A5. Piston 1 Deformation Probe,B1. Stress - All,B2. Stress - Calliper Mount,B3. Stress - Calliper Free-Side,B4. Stress - Bolt Shank,B5. Stress - Bolt Shank,B6. Stress - Bolt Shank,B7. Stress - Bolt Shank,B8. Stress - Bolt Shank,B9. Stress - Bolt Shank,C1. Bolt Working Load,C2. Bolt Working Load,C3. Bolt Working Load,C4. Bolt Working Load,C5. Bolt Working Load,C6. Bolt Working Load,D1. Internal Threads,D2. Internal Threads,D3. Internal Threads,D4. Internal Threads
Piston Pressure,Maximum,Maximum,Z,Z,Z,Maximum,Maximum,Maximum,Maximum,Maximum,Maximum,Maximum,Maximum,Maximum,Working Load,Working Load,Working Load,Working Load,Working Load,Working Load,Total,Total,Total,Total
MPa,mm,mm,mm,mm,mm,MPa,MPa,MPa,MPa,MPa,MPa,MPa,MPa,MPa,N,N,N,N,N,N,N,N,N,N
0,5.1436e-002,-1.2069e-003,-4.815e-003,-1.0301e-002,1.8803e-004,1228.6,301.33,258.15,299.28,458.19,456.09,295.43,294.06,294.71,0.,0.,0.,0.,0.,0.,5073.7,5074.9,5068.3,5077.2
0.5,5.1306e-002,3.2255e-004,-3.0749e-003,-8.9816e-003,8.4881e-003,1228.1,300.65,254.79,298.58,459.46,457.5,294.81,295.14,296.1,5000.1,5021.6,5022.2,5002.3,2511.4,2511.7,5073.9,5095.,5089.1,5079.6
1.0,5.1192e-002,1.869e-003,-1.3341e-003,-7.6617e-003,1.6788e-002,1228.2,300.33,251.5,297.89,460.25,457.99,294.22,297.47,297.59,5000.2,5041.,5043.9,5004.2,2523.,2523.5,5074.,5113.1,5109.4,5081.7
1.5,5.1228e-002,3.4161e-003,4.0685e-004,-6.3417e-003,2.5089e-002,1228.2,300.02,248.24,297.17,461.08,458.56,293.6,300.25,299.36,5000.2,5060.5,5065.7,5006.1,2534.7,2535.4,5074.2,5131.1,5129.7,5083.9
2.0,6.1427e-002,4.9644e-003,2.1467e-003,-5.0219e-003,3.3389e-002,1228.3,299.7,244.98,296.45,461.97,459.29,292.98,302.89,301.46,5000.2,5080.1,5087.4,5007.9,2546.3,2547.3,5074.4,5149.3,5150.2,5086.
2.5,7.1872e-002,6.4983e-003,3.8795e-003,-3.7027e-003,4.1698e-002,1228.5,299.36,241.84,295.64,462.87,460.1,292.33,304.83,303.53,5000.2,5100.,5109.5,5009.7,2557.9,2559.1,5074.6,5167.8,5170.9,5088.2
3.0,8.2539e-002,8.0441e-003,5.6091e-003,-2.3784e-003,5.0069e-002,1228.6,299.02,238.54,294.78,463.83,460.93,291.62,306.6,305.54,5000.8,5120.6,5131.6,5011.6,2569.6,2571.,5075.6,5187.,5191.7,5090.5
3.5,9.3662e-002,9.6783e-003,7.3971e-003,-1.0109e-003,5.8687e-002,1228.8,298.7,237.66,294.08,464.9,461.93,290.88,308.35,307.46,5004.2,5144.5,5155.7,5014.8,2581.4,2582.8,5079.5,5209.5,5214.5,5094.4
4.0,0.10559,1.1444e-002,9.3706e-003,4.8725e-004,6.7817e-002,1229.1,298.49,237.71,293.59,466.26,463.29,290.45,310.01,309.42,5011.5,5174.2,5186.1,5023.3,2593.3,2594.9,5087.2,5237.6,5243.7,5103.4
4.5,0.11843,1.3371e-002,1.1543e-002,2.1324e-003,7.753e-002,1229.6,298.41,237.57,293.45,468.16,465.,291.,311.66,311.4,5023.2,5213.3,5225.7,5036.5,2605.6,2607.2,5099.4,5275.,5281.9,5117.3
5.0,0.13225,1.5483e-002,1.394e-002,3.949e-003,8.7899e-002,1230.2,298.53,237.17,293.76,470.56,467.21,292.27,313.32,313.47,5040.3,5263.5,5276.9,5054.9,2618.4,2620.1,5117.,5322.8,5330.8,5136.3
5.5,0.14695,1.7759e-002,1.655e-002,5.9214e-003,9.8854e-002,1231.,298.85,238.42,294.44,473.49,469.97,293.98,314.99,315.61,5063.1,5324.4,5339.1,5079.8,2631.5,2633.3,5140.1,5379.4,5389.,5161.6
6.0,0.16245,2.0201e-002,1.9354e-002,8.0307e-003,0.11034,1232.,299.35,243.42,295.65,476.94,473.38,296.13,316.7,317.8,5093.1,5396.3,5411.8,5111.1,2645.1,2647.,5170.3,5445.3,5456.5,5193.2
6.5,0.17873,2.2813e-002,2.2347e-002,1.0275e-002,0.12234,1233.3,300.02,248.49,301.74,480.95,477.33,307.01,318.42,320.04,5130.5,5480.4,5496.2,5149.7,2659.,2660.9,5207.4,5523.8,5536.3,5231.5
7.0,0.19602,2.5847e-002,2.56e-002,1.2709e-002,0.13503,1234.9,300.98,253.35,315.26,485.64,482.01,320.5,320.19,322.39,5178.,5581.7,5598.7,5198.,2673.4,2675.4,5253.5,5621.7,5636.1,5278.7
7.5,0.21405,2.924e-002,2.9045e-002,1.5273e-002,0.1482,1236.8,302.11,258.46,330.89,490.88,487.48,335.81,322.07,324.91,5235.2,5696.2,5713.6,5255.6,2688.2,2690.2,5308.,5734.2,5749.8,5334.6
8.0,0.23264,3.2863e-002,3.2655e-002,1.7945e-002,0.16176,1239.,303.4,274.35,347.88,496.69,493.52,352.39,324.7,327.58,5300.3,5819.8,5839.,5322.4,2703.2,2705.3,5370.1,5856.,5874.3,5398.7
8.5,0.25176,3.668e-002,3.6413e-002,2.0706e-002,0.17566,1241.3,304.75,290.74,366.83,503.03,499.8,371.29,327.51,330.41,5377.4,5952.7,5972.9,5397.7,2718.7,2720.9,5444.8,5987.7,6007.4,5470.8
9.0,0.27142,4.0693e-002,4.0342e-002,2.3562e-002,0.18993,1243.8,306.2,307.69,388.3,509.73,506.44,392.71,330.41,333.35,5468.,6093.5,6114.2,5486.4,2734.7,2736.9,5534.,6128.,6148.1,5557.6

DP,3
Piston Pressure (scalar),9
M6 Pretension,5000
M4 Pretension,2500
Solution Time,1030.0
Mesh Nodes,195306
Mesh Elements,85297
Solution Date,2026-07-05_20-23-24

